Grid,longitude,latitude
753,269910.0358,3905069.642
754,273701.0823,3904973.758
755,277492.0887,3904879.47
756,281283.0556,3904786.778
757,285073.9836,3904695.68
758,288864.8734,3904606.178
759,292655.7257,3904518.271
760,296446.5412,3904431.959
761,300237.3206,3904347.241
762,304028.0644,3904264.118
763,307818.7735,3904182.59
764,311609.4484,3904102.656
765,315400.0898,3904024.316
766,319190.6984,3903947.57
767,322981.2749,3903872.418
768,326771.8199,3903798.86
769,330562.3341,3903726.895
770,334352.8183,3903656.525
771,338143.273,3903587.747
772,341933.6989,3903520.563
773,345724.0967,3903454.973
774,349514.4671,3903390.975
775,353304.8108,3903328.571
776,357095.1284,3903267.76
777,360885.4205,3903208.541
778,364675.688,3903150.915
779,368465.9314,3903094.882
780,372256.1514,3903040.442
781,376046.3486,3902987.594
782,379836.5239,3902936.338
783,383626.6778,3902886.675
784,387416.811,3902838.604
785,391206.9241,3902792.125
786,394997.018,3902747.238
787,398787.0931,3902703.944
788,402577.1503,3902662.241
789,406367.1901,3902622.13
790,410157.2133,3902583.611
791,413947.2205,3902546.684
792,417737.2124,3902511.348
793,421527.1897,3902477.604
794,425317.153,3902445.452
795,429107.103,3902414.891
796,432897.0404,3902385.922
797,436686.9659,3902358.545
798,440476.8801,3902332.758
799,444266.7838,3902308.563
800,448056.6775,3902285.96
801,451846.562,3902264.947
802,455636.4379,3902245.526
803,459426.3059,3902227.696
804,463216.1667,3902211.458
805,467006.021,3902196.81
806,470795.8694,3902183.754
807,474585.7126,3902172.289
808,478375.5513,3902162.415
809,482165.3861,3902154.132
810,485955.2178,3902147.44
811,489745.047,3902142.339
812,493534.8743,3902138.829
813,497324.7005,3902136.911
814,501114.5262,3902136.583
815,504904.3521,3902137.847
816,508694.1789,3902140.701
817,254871.1607,3910091.558
818,258660.4274,3909989.238
819,262449.6515,3909888.514
820,266238.8335,3909789.388
821,270027.9743,3909691.859
822,273817.0743,3909595.926
823,277606.1344,3909501.589
824,281395.1551,3909408.849
825,285184.1371,3909317.705
826,288973.0812,3909228.157
827,292761.9879,3909140.204
828,296550.858,3909053.847
829,300339.692,3908969.086
830,304128.4908,3908885.921
831,307917.2548,3908804.35
832,311705.9849,3908724.375
833,315494.6817,3908645.995
834,319283.3459,3908569.209
835,323071.978,3908494.019
836,326860.5788,3908420.423
837,330649.149,3908348.421
838,334437.6893,3908278.014
839,338226.2002,3908209.202
840,342014.6824,3908141.983
841,345803.1368,3908076.359
842,349591.5638,3908012.328
843,353379.9642,3907949.892
844,357168.3386,3907889.049
845,360956.6878,3907829.8
846,364745.0123,3907772.144
847,368533.3129,3907716.082
848,372321.5902,3907661.614
849,376109.8449,3907608.739
850,379898.0776,3907557.457
851,383686.2891,3907507.768
852,387474.48,3907459.672
853,391262.651,3907413.169
854,395050.8027,3907368.259
855,398838.9359,3907324.942
856,402627.0511,3907283.218
857,406415.149,3907243.087
858,410203.2304,3907204.548
859,413991.2959,3907167.602
860,417779.3462,3907132.248
861,421567.3819,3907098.487
862,425355.4037,3907066.318
863,429143.4123,3907035.741
864,432931.4083,3907006.757
865,436719.3924,3906979.365
866,440507.3654,3906953.566
867,444295.3278,3906929.358
868,448083.2803,3906906.743
869,451871.2237,3906885.72
870,455659.1585,3906866.289
871,459447.0854,3906848.45
872,463235.0052,3906832.203
873,467022.9185,3906817.548
874,470810.8259,3906804.485
875,474598.7281,3906793.014
876,478386.6259,3906783.135
877,482174.5198,3906774.847
878,485962.4105,3906768.152
879,489750.2988,3906763.049
880,493538.1853,3906759.537
881,497326.0706,3906757.617
882,501113.9554,3906757.29
883,504901.8405,3906758.554
884,508689.7264,3906761.41
885,254997.017,3914714.005
886,258784.3344,3914611.632
887,262571.6094,3914510.857
888,266358.8425,3914411.681
889,270146.0346,3914314.101
890,273933.1861,3914218.119
891,277720.2978,3914123.734
892,281507.3704,3914030.946
893,285294.4045,3913939.756
894,289081.4007,3913850.161
895,292868.3598,3913762.164
896,296655.2825,3913675.763
897,300442.1692,3913590.959
898,304229.0209,3913507.75
899,308015.838,3913426.138
900,311802.6213,3913346.122
901,315589.3714,3913267.701
902,319376.0891,3913190.877
903,323162.7749,3913115.648
904,326949.4295,3913042.014
905,330736.0537,3912969.976
906,334522.648,3912899.532
907,338309.2131,3912830.685
908,342095.7497,3912763.432
909,345882.2585,3912697.774
910,349668.7401,3912633.71
911,353455.1953,3912571.242
912,357241.6245,3912510.368
913,361028.0287,3912451.088
914,364814.4083,3912393.403
915,368600.7641,3912337.313
916,372387.0967,3912282.816
917,376173.4068,3912229.914
918,379959.695,3912178.606
919,383745.9621,3912128.891
920,387532.2087,3912080.771
921,391318.4355,3912034.244
922,395104.6431,3911989.311
923,398890.8322,3911945.972
924,402677.0035,3911904.226
925,406463.1576,3911864.074
926,410249.2952,3911825.516
927,414035.4169,3911788.551
928,417821.5235,3911753.179
929,421607.6157,3911719.4
930,425393.6939,3911687.215
931,429179.7591,3911656.623
932,432965.8117,3911627.624
933,436751.8525,3911600.218
934,440537.8822,3911574.405
935,444323.9013,3911550.185
936,448109.9106,3911527.558
937,451895.9108,3911506.524
938,455681.9025,3911487.083
939,459467.8864,3911469.235
940,463253.8631,3911452.98
941,467039.8334,3911438.317
942,470825.7978,3911425.247
943,474611.7571,3911413.77
944,478397.7119,3911403.886
945,482183.6629,3911395.595
946,485969.6107,3911388.896
947,489755.5561,3911383.79
948,493541.4997,3911380.277
949,497327.4421,3911378.356
950,501113.384,3911378.028
951,504899.3262,3911379.293
952,508685.2692,3911382.15
953,255123.003,3919336.477
954,258908.3692,3919234.052
955,262693.6931,3919133.226
956,266478.9753,3919033.998
957,270264.2166,3918936.369
958,274049.4177,3918840.338
959,277834.5791,3918745.905
960,281619.7015,3918653.07
961,285404.7856,3918561.833
962,289189.8321,3918472.193
963,292974.8415,3918384.151
964,296759.8147,3918297.706
965,300544.7522,3918212.858
966,304329.6547,3918129.607
967,308114.5229,3918047.954
968,311899.3574,3917967.897
969,315684.1589,3917889.436
970,319468.928,3917812.572
971,323253.6655,3917737.305
972,327038.3719,3917663.634
973,330823.048,3917591.558
974,334607.6943,3917521.079
975,338392.3117,3917452.196
976,342176.9007,3917384.909
977,345961.4619,3917319.218
978,349745.9962,3917255.122
979,353530.504,3917192.621
980,357314.9861,3917131.716
981,361099.4432,3917072.407
982,364883.8759,3917014.692
983,368668.2849,3916958.573
984,372452.6708,3916904.048
985,376237.0343,3916851.119
986,380021.376,3916799.785
987,383805.6967,3916750.045
988,387589.997,3916701.9
989,391374.2776,3916655.35
990,395158.5391,3916610.394
991,398942.7821,3916567.032
992,402727.0074,3916525.265
993,406511.2157,3916485.093
994,410295.4075,3916446.515
995,414079.5835,3916409.531
996,417863.7445,3916374.141
997,421647.891,3916340.345
998,425432.0237,3916308.143
999,429216.1434,3916277.535
1000,433000.2506,3916248.521
1001,436784.3461,3916221.102
1002,440568.4304,3916195.276
