,lat,lon,dS2S_T1,AF_T1,var_T1,sd_T1
3161,4064745.68,378307.5646,-0.413661788,0.661224548,0.162803981,0.403489753
3162,4064693.565,382028.5653,-0.277031896,0.758030319,0.135023133,0.36745494
3163,4064643.069,385749.548,-0.135659248,0.873140106,0.0934701,0.305728801
3164,4064594.192,389470.5134,0.000528665,1.000528805,0.043755023,0.209177012
3165,4064546.934,393191.4619,0.118031369,1.12527941,0.062768537,0.250536499
3166,4064501.294,396912.3942,0.226427961,1.254112261,0.099198024,0.314957178
3167,4064457.274,400633.3108,0.329808921,1.390702369,0.110209955,0.331978848
3168,4064414.871,404354.2123,0.404474669,1.498515077,0.09536841,0.308817762
3169,4064374.088,408075.0993,0.445307211,1.560969668,0.065154539,0.255253872
3170,4064334.923,411795.9722,0.466052663,1.593690926,0.069140271,0.262945376
3171,4064297.376,415516.8318,0.451540898,1.570730657,0.095631648,0.30924367
3172,4064261.448,419237.6785,0.380922321,1.463633907,0.100125702,0.316426457
3173,4064227.138,422958.5129,0.256624806,1.292560075,0.073266422,0.270677709
3174,4064194.446,426679.3356,0.104759791,1.11044384,0.026203941,0.161876314
3175,4064163.373,430400.1471,0.042592787,1.043512876,0.069694858,0.263997836
3176,4064133.918,434120.9481,-0.01484734,0.985262338,0.106943485,0.327022148
3177,4064106.081,437841.739,-0.078041008,0.924926497,0.121905694,0.349149959
3178,4064079.862,441562.5205,-0.142048294,0.867579356,0.123701212,0.351711831
3179,4064055.261,445283.293,-0.216162962,0.805604008,0.121185819,0.348117536
3180,4064032.278,449004.0573,-0.313231431,0.731080698,0.117986635,0.343491826
3181,4064010.913,452724.8138,-0.432307495,0.649009779,0.107161672,0.327355574
3182,4063991.166,456445.5631,-0.555217536,0.573947394,0.0807857,0.284228254
3183,4063973.037,460166.3057,-0.620558492,0.537644084,0.058552331,0.24197589
3184,4063956.526,463887.0423,-0.563777242,0.569055539,0.083540672,0.289034032
3185,4063941.633,467607.7734,-0.462271765,0.629851145,0.133481344,0.365350987
3186,4063928.358,471328.4996,-0.351392927,0.703707194,0.188942101,0.434674707
3187,4063916.7,475049.2214,-0.239985554,0.786639225,0.242738962,0.492685459
3188,4063906.66,478769.9395,-0.144821147,0.865177019,0.292073465,0.540438215
3189,4063898.238,482490.6542,-0.071148784,0.931323316,0.336142784,0.57977822
3190,4063891.434,486211.3664,-0.019750407,0.980443355,0.37470606,0.612132388
3191,4063886.248,489932.0764,0.012922568,1.013006425,0.407481901,0.63834309
